Date;Flower;Color;Units Selection
01/10/2024 0:00;Hypericum;Pink;10800
01/10/2024 0:00;Hypericum;Red;13200
01/10/2024 0:00;Hypericum;White;0
01/10/2024 0:00;Iconfetti;DarkPink;400
01/10/2024 0:00;Iconfetti;Orange;1920
01/10/2024 0:00;Iconfetti;White;5000
01/10/2024 0:00;Kale;Cream;10
01/10/2024 0:00;Kale;Purple;3100
01/10/2024 0:00;Leucadendron;Red;0
01/10/2024 0:00;Liatris;Purple;500
01/10/2024 0:00;Limonium;Blue;1200
01/10/2024 0:00;Limonium;White;5400
01/10/2024 0:00;Liriope;Green;6028
01/10/2024 0:00;Matsumoto;DarkPink;4870
01/10/2024 0:00;Matsumoto;Purple;6040
01/10/2024 0:00;Matsumoto;Red;600
01/10/2024 0:00;Micropompon Button;Pink;30
01/10/2024 0:00;Micropompon Button;Purple;8810
01/10/2024 0:00;Micropompon Button;Red;250
01/10/2024 0:00;Micropompon Button;White;950
01/10/2024 0:00;Micropompon Button;Yellow;200
01/10/2024 0:00;Micropompon Daisy;Green;770
01/10/2024 0:00;Micropompon Daisy;Lavender;2860
01/10/2024 0:00;Micropompon Daisy;Purple;3220
01/10/2024 0:00;Micropompon Daisy;White;40
01/10/2024 0:00;Micropompon Daisy;Yellow;1140
01/10/2024 0:00;Minicarnation;Burgundy;1800
01/10/2024 0:00;Minicarnation;DarkPink;12600
01/10/2024 0:00;Minicarnation;Earth Tones;1200
01/10/2024 0:00;Minicarnation;Green;600
01/10/2024 0:00;Minicarnation;Lavender;600
01/10/2024 0:00;Minicarnation;Novelty Burgundy;600
01/10/2024 0:00;Minicarnation;Novelty Pink;600
01/10/2024 0:00;Minicarnation;Novelty Purple;600
01/10/2024 0:00;Minicarnation;Novelty Red;600
01/10/2024 0:00;Minicarnation;Novelty Yellow;600
01/10/2024 0:00;Minicarnation;Orange;9000
01/10/2024 0:00;Minicarnation;Peppermint;0
01/10/2024 0:00;Minicarnation;Pink;8400
01/10/2024 0:00;Minicarnation;Purple;3600
